actual,lstm,xgb,ensemble
1.3280238095238095,1.3670273,1.3353611,1.3480277
1.2612045454545455,1.3122401,1.3358054,1.3263793
1.259504761904762,1.2696453,1.2869803,1.2800463
1.2319,1.2595215,1.2728873,1.267541
1.240904761904762,1.2389915,1.2411845,1.2403073
1.2090105263157895,1.2328383,1.231496,1.2320329
1.1975714285714285,1.2168696,1.1347538,1.1676002
1.1725285714285714,1.199242,1.1471002,1.167957
1.2031363636363637,1.1836268,1.1670136,1.1736588
1.1614428571428572,1.206561,1.1746318,1.1874036
1.1105714285714285,1.1841472,1.1460018,1.16126
1.0318217391304347,1.1474007,1.1363406,1.1407647
0.9992894736842105,1.0839329,1.0438665,1.0598931
1.1485,1.0558218,0.97622323,1.0080626
1.1217857142857144,1.1601113,1.1839151,1.1743937
1.0304,1.1689177,1.1495662,1.1573068
1.0335,1.0773966,1.0591094,1.0664244
0.9982052631578948,1.0474125,1.0761651,1.0646641
0.9647380952380952,1.0297905,1.0184363,1.0229781
0.919947619047619,1.0006636,0.9765095,0.9861712
0.9266304347826086,0.9597787,0.8809837,0.91250175
1.008205,0.9443062,0.88359404,0.9078789
1.0612826086956522,1.0453256,1.038008,1.040935
0.9488500000000001,1.1165687,1.0767138,1.0926558
0.9975238095238096,1.0196958,0.9632882,0.9858513
0.9736739130434783,1.0231279,0.98220026,0.9985714
1.0999904761904762,1.0164737,0.9738231,0.99088335
1.2961190476190476,1.1102374,1.1359227,1.1256485
1.1350454545454545,1.2723854,1.4254557,1.3642275
1.041715,1.1973386,1.1541544,1.1714281
1.1497727272727274,1.1019635,1.0491456,1.0702728
1.1376857142857144,1.149363,1.1674733,1.1602292
1.0606190476190476,1.1623573,1.1576531,1.1595348
0.9681000000000001,1.1168107,1.0607396,1.083168
1.0399772727272727,0.99091107,0.98211914,0.9856359
1.188795238095238,1.0100286,1.080909,1.0525569
1.2141818181818183,1.13746,1.2004749,1.1752689
1.0740227272727272,1.220671,1.2242293,1.222806
1.1222238095238095,1.1316916,1.0690306,1.094095
1.2290227272727272,1.1126425,1.1292595,1.1226127
1.245875,1.1793677,1.2030133,1.1935551
1.2710050000000002,1.2307497,1.2374986,1.2347991
1.3003260869565216,1.2597665,1.2532465,1.2558546
1.3261857142857143,1.2871994,1.2767181,1.2809107
1.5045238095238094,1.3104137,1.2815009,1.293066
1.5633454545454546,1.4339093,1.5043093,1.4761493
1.6879318181818184,1.4967327,1.6293623,1.5763105
1.8215045454545453,1.5771708,1.7238656,1.6651878
1.9023636363636363,1.6861686,1.8286918,1.7716826
2.027690476190476,1.8191769,2.0581598,1.9625667
2.224381818181818,1.9379847,2.0311232,1.9938679
2.3438695652173913,2.1274912,2.1190612,2.1224332
2.3640238095238097,2.27298,2.4004087,2.3494372
2.4609449999999997,2.3216858,2.4085364,2.3737962
2.228586956521739,2.41201,2.4397392,2.4286475
2.255725,2.2604625,2.2291987,2.2417042
2.1857727272727274,2.1963763,2.2759092,2.244096
2.3087136363636365,2.1501427,2.0720024,2.1032586
2.178404761904762,1.9412756,2.2112584,2.1032653
2.243478260869565,1.9147667,2.0834126,2.0159545
2.2445454545454546,1.9080491,2.2409635,2.1077979
1.989047619047619,2.1958182,2.2474189,2.2267787
1.646818181818182,1.995303,1.8904539,1.9323937
1.6604545454545454,1.6915027,1.6388675,1.6599216
1.5894727272727274,1.6134113,1.6488743,1.6346891
1.81267,1.5567129,1.6431249,1.6085601
1.7635695652173913,1.691644,1.7479408,1.7254221
1.879125,1.7232814,1.7378955,1.73205
1.8417608695652175,1.7829921,1.8646253,1.8319721
1.7558454545454545,1.7878823,1.8100291,1.8011703
1.593847619047619,1.682425,1.7072489,1.6973195
1.5567260869565216,1.6091728,1.6077148,1.6082981
1.5260714285714285,1.5816542,1.5537795,1.5649295
1.5525363636363636,1.4937782,1.5261353,1.5131925
1.6997157894736843,1.5024722,1.5499139,1.5309372
1.887304761904762,1.589386,1.6756204,1.6411266
1.8470347826086957,1.7565246,1.7679819,1.7633991
1.9228095238095237,1.7589715,1.7602103,1.7597148
1.9004047619047622,1.7665467,1.8273458,1.8030262
2.2156818181818183,1.7633061,1.8213447,1.7981293
2.116108695652174,1.9917303,2.014514,2.0054007
2.277275,2.0157413,1.8623387,1.9236999
2.371608695652174,2.0329623,2.1910775,2.1278315
2.4368636363636362,2.1289852,2.3538291,2.2638917
2.5679761904761906,2.1407142,2.4092093,2.3018112
2.524717391304348,2.4799411,2.5788848,2.5393074
2.8241666666666667,2.4870875,2.5144699,2.5035172
3.2151681818181816,2.7309442,2.6495526,2.6821094
